Country,Year,Emission
Africa,1821,0
Africa,1822,0
Africa,1823,0
Africa,1824,0
Africa,1825,0
Africa,1826,0
Africa,1827,0
Africa,1828,0
Africa,1829,0
Africa,1830,0
Africa,1831,0
Africa,1832,0
Africa,1833,0
Africa,1834,0
Africa,1835,0
Africa,1836,0
Africa,1837,0
Africa,1838,0
Africa,1839,0
Africa,1840,0
Africa,1841,0
Africa,1842,0
Africa,1843,0
Africa,1844,0
Africa,1845,0
Africa,1846,0
Africa,1847,0
Africa,1848,0
Africa,1849,0
Africa,1850,0
Africa,1851,0
Africa,1852,0
Africa,1853,0
Africa,1854,0
Africa,1855,0
Africa,1856,0
Africa,1857,0
Africa,1858,0
Africa,1859,0
Africa,1860,0
Africa,1861,0
Africa,1862,0
Africa,1863,0
Africa,1864,0
Africa,1865,0
Africa,1866,0
Africa,1867,0
Africa,1868,0
Africa,1869,0
Africa,1870,0
Africa,1871,0
Africa,1872,0
Africa,1873,0
Africa,1874,0
Africa,1875,0
Africa,1876,0
Africa,1877,0
Africa,1878,0
Africa,1879,0
Africa,1880,0
Africa,1881,0
Africa,1882,0
Africa,1883,0
Africa,1884,153888
Africa,1885,410368
Africa,1886,743792
Africa,1887,1077216
Africa,1888,1641472
Africa,1889,2564800
Africa,1890,4642288
Africa,1891,6719776
Africa,1892,10079664
Africa,1893,22672832
Africa,1894,39703104
Africa,1895,63068432
Africa,1896,92871408
Africa,1897,126316400
Africa,1898,168661248
Africa,1899,207287136
Africa,1900,223599264
Africa,1901,250965680
Africa,1902,291746000
Africa,1903,346903856
Africa,1904,409151552
Africa,1905,480742448
Africa,1906,562511936
Africa,1907,652745264
Africa,1908,746169936
Africa,1909,853455520
Africa,1910,974902464
Africa,1911,1092447248
Africa,1912,1217602160
Africa,1913,1354262032
Africa,1914,1490277040
Africa,1915,1626533872
Africa,1916,1788116272
Africa,1917,1964178800
Africa,1918,2136064368
Africa,1919,2312969616
Africa,1920,2507923728
Africa,1921,2702419840
Africa,1922,2868765440
Africa,1923,3070138880
Africa,1924,3282368752
Africa,1925,3505334144
Africa,1926,3743402544
Africa,1927,3977228032
Africa,1928,4216948896
Africa,1929,4464012416
Africa,1930,4696339328
Africa,1931,4900409472
Africa,1932,5085606352
Africa,1933,5283909360
Africa,1934,5510058768
Africa,1935,5759632128
Africa,1936,6030834080
Africa,1937,6320770064
Africa,1938,6625787072
Africa,1939,6950695936
Africa,1940,7294785840
Africa,1941,7669129392
Africa,1942,8076701760
Africa,1943,8492624384
Africa,1944,8954233424
Africa,1945,9422503616
Africa,1946,9895068016
Africa,1947,10366313376
Africa,1948,10863525504
Africa,1949,11399172992
Africa,1950,12038907392
Africa,1951,12720733824
Africa,1952,13462583904
Africa,1953,14214304800
Africa,1954,15000683472
Africa,1955,15864236976
Africa,1956,16765163280
Africa,1957,17710251776
Africa,1958,18713073920
Africa,1959,19731836054
Africa,1960,20813300561
Africa,1961,21934369326
Africa,1962,23086864993
Africa,1963,24308845886
Africa,1964,25652198914
Africa,1965,27133406661
Africa,1966,28667624441
Africa,1967,30311675454
Africa,1968,32093772860
Africa,1969,34022529172
Africa,1970,36136205043
Africa,1971,38456534560
Africa,1972,40927608218
Africa,1973,43590119017
Africa,1974,46318890525
Africa,1975,49040826655
Africa,1976,51995718411
Africa,1977,55045096295
Africa,1978,58323507487
Africa,1979,61838858408
Africa,1980,65633534694
Africa,1981,69498841754
Africa,1982,73522416380
Africa,1983,77713536891
Africa,1984,82306451451
Africa,1985,87016932722
Africa,1986,91891431895
Africa,1987,96771258387
Africa,1988,101893412760
Africa,1989,106827866972
Africa,1990,111477594334
Africa,1991,116332500491
Africa,1992,121070052370
Africa,1993,126090384909
Africa,1994,131190186862
Africa,1995,136694881296
Africa,1996,142326101773
Africa,1997,148078338136
Africa,1998,154008776457
Africa,1999,159876771190
Africa,2000,166137512241
Africa,2001,172357523829
Africa,2002,178622434780
Africa,2003,185431817902
Africa,2004,192746044645
Africa,2005,200152860848
Africa,2006,207835935367
Africa,2007,215830400472
Africa,2008,224189650361
Africa,2009,232636158714
Africa,2010,241115759973
Africa,2011,249627856821
Africa,2012,258349723029
Africa,2013,267183234995
Africa,2014,276305697063
Africa,2015,285477320506
Africa,2016,294801632046
Africa,2017,304273765560
Australia,1751,0
Australia,1752,0
Australia,1753,0
Australia,1754,0
Australia,1755,0
Australia,1756,0
Australia,1757,0
Australia,1758,0
Australia,1759,0
Australia,1760,0
Australia,1761,0
Australia,1762,0
Australia,1763,0
Australia,1764,0
Australia,1765,0
Australia,1766,0
Australia,1767,0
Australia,1768,0
Australia,1769,0
Australia,1770,0
Australia,1771,0
Australia,1772,0
Australia,1773,0
Australia,1774,0
Australia,1775,0
Australia,1776,0
Australia,1777,0
Australia,1778,0
Australia,1779,0
Australia,1780,0
Australia,1781,0
Australia,1782,0
Australia,1783,0
Australia,1784,0
Australia,1785,0
Australia,1786,0
Australia,1787,0
Australia,1788,0
Australia,1789,0
Australia,1790,0
Australia,1791,0
Australia,1792,0
Australia,1793,0
Australia,1794,0
Australia,1795,0
Australia,1796,0
Australia,1797,0
Australia,1798,0
Australia,1799,0
Australia,1800,0
Australia,1801,0
Australia,1802,0
Australia,1803,0
Australia,1804,0
Australia,1805,0
Australia,1806,0
Australia,1807,0
Australia,1808,0
Australia,1809,0
Australia,1810,0
Australia,1811,0
Australia,1812,0
Australia,1813,0
Australia,1814,0
Australia,1815,0
Australia,1816,0
Australia,1817,0
Australia,1818,0
Australia,1819,0
Australia,1820,0
Australia,1821,0
Australia,1822,0
Australia,1823,0
Australia,1824,0
Australia,1825,0
Australia,1826,0
Australia,1827,0
Australia,1828,0
Australia,1829,0
Australia,1830,0
Australia,1831,0
Australia,1832,0
Australia,1833,0
Australia,1834,0
Australia,1835,0
Australia,1836,0
Australia,1837,0
Australia,1838,0
Australia,1839,0
Australia,1840,0
Australia,1841,0
Australia,1842,0
Australia,1843,0
Australia,1844,0
Australia,1845,0
Australia,1846,0
Australia,1847,0
Australia,1848,0
Australia,1849,0
Australia,1850,0
Australia,1851,0
Australia,1852,0
Australia,1853,0
Australia,1854,0
Australia,1855,0
Australia,1856,0
Australia,1857,0
Australia,1858,0
Australia,1859,0
Australia,1860,0
Australia,1861,0
Australia,1862,0
Australia,1863,0
Australia,1864,0
Australia,1865,0
Australia,1866,0
Australia,1867,0
Australia,1868,0
Australia,1869,0
Australia,1870,0
Australia,1871,0
Australia,1872,0
Australia,1873,0
Australia,1874,0
Australia,1875,0
Australia,1876,0
Australia,1877,0
Australia,1878,0
Australia,1879,0
Australia,1880,0
Australia,1881,0
Australia,1882,0
Australia,1883,0
